partner,product,fpos,discount,avans,notice
nexterp_demo_partner_1,nexterp_demo_product_1,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_1,nexterp_demo_product_2,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_1,nexterp_demo_product_3,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_1,nexterp_demo_product_4,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_2,nexterp_demo_product_5,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_2,nexterp_demo_product_6,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_2,nexterp_demo_product_7,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_2,nexterp_demo_product_8,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_3,nexterp_demo_product_9,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_3,nexterp_demo_product_10,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_3,nexterp_demo_product_11,l10n_ro.1_fiscal_position_template_1,0,0,0
nexterp_demo_partner_3,nexterp_demo_product_12,l10n_ro.1_fiscal_position_template_1,0,0,0
